epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1470.11,1.4434,2.45213,0.96647,1.31148,0.77847,0.74744,0.79609,0.45169,0.81977,0.71524,0.78629,0.41382,1.54712,2.56407,0.96413,1.40474,0.00284857,0.00284857,0.00284857
31,1518.59,1.40228,2.41132,0.93767,1.28878,0.83083,0.71333,0.79821,0.46126,0.83749,0.71729,0.79444,0.41094,1.51386,2.54993,0.93113,1.37339,0.00283814,0.00283814,0.00283814
32,1567.15,1.39687,2.40705,0.92947,1.29066,0.82509,0.76335,0.81843,0.46964,0.8444,0.74455,0.80776,0.4224,1.50939,2.57566,0.91725,1.37386,0.00282739,0.00282739,0.00282739
33,1615.82,1.40763,2.42772,0.94112,1.2873,0.80345,0.73533,0.79542,0.45846,0.83979,0.70596,0.78746,0.41462,1.50197,2.51244,0.9836,1.38972,0.00281632,0.00281632,0.00281632
34,1664.28,1.38176,2.39498,0.9101,1.27543,0.857,0.7036,0.76367,0.44872,0.86218,0.70424,0.76305,0.40424,1.52,2.5443,1.11064,1.38599,0.00280492,0.00280492,0.00280492
35,1712.74,1.39695,2.40623,0.92568,1.27768,0.81572,0.74211,0.80928,0.48028,0.81749,0.73443,0.80019,0.42854,1.46315,2.44551,0.92897,1.33982,0.0027932,0.0027932,0.0027932
36,1761.43,1.37289,2.40373,0.91925,1.27225,0.83155,0.74025,0.81077,0.481,0.8489,0.72987,0.80014,0.42617,1.44094,2.52082,0.93292,1.34322,0.00278117,0.00278117,0.00278117
37,1809.81,1.36942,2.39914,0.89217,1.27227,0.8452,0.74708,0.82064,0.49002,0.85067,0.74591,0.81337,0.43276,1.4635,2.50335,0.8632,1.32636,0.00276883,0.00276883,0.00276883
38,1858.3,1.36196,2.37562,0.88596,1.27023,0.84924,0.74668,0.82514,0.49068,0.82885,0.75285,0.81604,0.43935,1.45883,2.44296,0.90314,1.33734,0.00275617,0.00275617,0.00275617
39,1906.92,1.36218,2.34929,0.88418,1.26223,0.79661,0.76715,0.81407,0.49048,0.80811,0.76014,0.80847,0.43824,1.44498,2.47377,0.91234,1.34756,0.00274321,0.00274321,0.00274321
40,1955.19,1.36286,2.34379,0.88063,1.26289,0.79948,0.76954,0.82204,0.48663,0.81239,0.75591,0.81076,0.43259,1.44961,2.49386,0.88815,1.3265,0.00272995,0.00272995,0.00272995
41,2003.57,1.35617,2.36146,0.90038,1.26376,0.80346,0.77447,0.81925,0.47847,0.81933,0.76781,0.81419,0.43285,1.46893,2.47508,0.91328,1.35868,0.00271639,0.00271639,0.00271639
42,2051.99,1.35542,2.37019,0.8934,1.26223,0.81777,0.76146,0.81067,0.47611,0.8194,0.75423,0.80078,0.42945,1.46258,2.44473,0.91105,1.33349,0.00270253,0.00270253,0.00270253
43,2100.43,1.36033,2.34857,0.88172,1.26002,0.77676,0.77369,0.81506,0.48465,0.78969,0.76728,0.8098,0.43576,1.45104,2.44828,0.88692,1.32407,0.00268838,0.00268838,0.00268838
44,2148.72,1.3357,2.29479,0.86224,1.24857,0.83394,0.75571,0.8166,0.48575,0.84378,0.74995,0.80669,0.43853,1.44628,2.46883,0.89536,1.32571,0.00267394,0.00267394,0.00267394
45,2197.1,1.34698,2.31875,0.86023,1.25025,0.879,0.7432,0.81849,0.49839,0.84149,0.73835,0.79394,0.43662,1.43686,2.49479,0.89072,1.31031,0.00265921,0.00265921,0.00265921
46,2245.73,1.33282,2.33098,0.86438,1.2451,0.81129,0.77156,0.8279,0.49488,0.80508,0.76302,0.81591,0.4416,1.44549,2.40399,0.8711,1.32264,0.0026442,0.0026442,0.0026442
47,2294.31,1.3311,2.29154,0.83891,1.24689,0.82602,0.75328,0.81248,0.48457,0.82739,0.75059,0.80533,0.43371,1.45735,2.42599,0.9058,1.35668,0.00262891,0.00262891,0.00262891
48,2342.74,1.33387,2.31742,0.8588,1.24955,0.807,0.76442,0.81377,0.49408,0.81972,0.76118,0.81299,0.44715,1.44533,2.41901,0.86735,1.34817,0.00261335,0.00261335,0.00261335
49,2391.39,1.32727,2.28978,0.83921,1.24096,0.836,0.78663,0.84042,0.50124,0.83858,0.77381,0.82805,0.44514,1.46857,2.48019,0.83982,1.33416,0.00259752,0.00259752,0.00259752
50,2439.99,1.31501,2.28413,0.83769,1.23247,0.80834,0.78683,0.82941,0.50229,0.81399,0.77134,0.81709,0.44612,1.4364,2.43421,0.84525,1.32712,0.00258142,0.00258142,0.00258142
51,2488.35,1.30032,2.28482,0.82559,1.23202,0.83352,0.7647,0.83126,0.50584,0.83052,0.75575,0.82097,0.45056,1.4208,2.41732,0.8418,1.31571,0.00256505,0.00256505,0.00256505
52,2536.95,1.31244,2.26055,0.83366,1.23121,0.81831,0.78906,0.83674,0.49763,0.83719,0.77825,0.83058,0.45058,1.44647,2.41079,0.83655,1.33342,0.00254843,0.00254843,0.00254843
53,2585.32,1.30176,2.26501,0.81703,1.21761,0.80245,0.77687,0.82088,0.49461,0.81907,0.7566,0.80809,0.43818,1.44113,2.45333,0.85608,1.32367,0.00253155,0.00253155,0.00253155
54,2633.69,1.30822,2.26243,0.82454,1.22329,0.83801,0.77124,0.83074,0.50833,0.83615,0.76482,0.82509,0.45193,1.42183,2.42353,0.82512,1.30629,0.00251442,0.00251442,0.00251442
55,2682.32,1.28729,2.25723,0.81223,1.21296,0.83037,0.78908,0.83609,0.50389,0.83443,0.78117,0.83176,0.44804,1.43311,2.46204,0.84758,1.32763,0.00249705,0.00249705,0.00249705
56,2730.68,1.29677,2.26399,0.80826,1.22331,0.85481,0.76191,0.82883,0.49909,0.85732,0.75565,0.81912,0.44867,1.43889,2.39637,0.85896,1.32226,0.00247943,0.00247943,0.00247943
57,2779.1,1.28893,2.26412,0.80977,1.22904,0.81167,0.79409,0.82934,0.5048,0.81697,0.78339,0.82218,0.44896,1.42825,2.4469,0.85156,1.31344,0.00246157,0.00246157,0.00246157
58,2827.39,1.26939,2.26248,0.80653,1.21085,0.84055,0.7829,0.83692,0.50679,0.85887,0.76725,0.82448,0.45313,1.43504,2.40646,0.82722,1.32041,0.00244349,0.00244349,0.00244349
59,2875.98,1.28442,2.26004,0.82135,1.21643,0.80655,0.79211,0.83044,0.5013,0.81516,0.78186,0.82348,0.4492,1.43466,2.41578,0.82757,1.31693,0.00242517,0.00242517,0.00242517
60,2924.35,1.28106,2.23725,0.79161,1.21473,0.83646,0.79457,0.8451,0.51596,0.84121,0.78088,0.83381,0.46314,1.39606,2.3555,0.81255,1.29637,0.00240662,0.00240662,0.00240662
61,2972.94,1.27749,2.19338,0.78661,1.21283,0.8241,0.80478,0.8335,0.50693,0.82008,0.80055,0.82757,0.45785,1.42743,2.3998,0.83408,1.31324,0.00238786,0.00238786,0.00238786
62,3021.23,1.2826,2.23865,0.78558,1.21039,0.82635,0.79012,0.83322,0.50843,0.82694,0.77922,0.82311,0.45239,1.44421,2.43314,0.81297,1.32862,0.00236888,0.00236888,0.00236888
63,3069.6,1.26746,2.20227,0.79068,1.20772,0.83296,0.80295,0.84413,0.51828,0.83847,0.79167,0.84048,0.46384,1.42443,2.39755,0.79485,1.32951,0.00234969,0.00234969,0.00234969
64,3118.2,1.25487,2.18711,0.78046,1.20357,0.85883,0.78461,0.84337,0.51708,0.85375,0.7766,0.83241,0.4612,1.41463,2.38999,0.80002,1.32192,0.0023303,0.0023303,0.0023303
65,3166.49,1.2561,2.2181,0.77894,1.20083,0.83448,0.76988,0.83153,0.50649,0.8382,0.77282,0.82685,0.45323,1.42206,2.41268,0.82637,1.30476,0.0023107,0.0023107,0.0023107
66,3214.83,1.2664,2.1957,0.77818,1.20956,0.84684,0.78023,0.83253,0.51142,0.85462,0.77857,0.82613,0.46022,1.41429,2.38191,0.85897,1.3153,0.00229091,0.00229091,0.00229091
