epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,6116.82,1.0278,1.89496,0.57799,1.07243,0.82744,0.81708,0.84566,0.52984,0.83925,0.80709,0.83927,0.48136,1.42617,2.48498,0.71539,1.33397,0.000946715,0.000946715,0.000946715
127,6165.21,1.03574,1.8899,0.57551,1.07076,0.83577,0.81071,0.84078,0.52812,0.84277,0.80986,0.83728,0.47987,1.42496,2.46279,0.70448,1.33751,0.000925235,0.000925235,0.000925235
128,6213.59,1.01789,1.87206,0.56857,1.06637,0.85166,0.80787,0.8471,0.52717,0.85526,0.8035,0.84189,0.47817,1.42708,2.50291,0.70756,1.34626,0.000903901,0.000903901,0.000903901
129,6262.02,1.04372,1.88888,0.5735,1.07591,0.83593,0.81998,0.84977,0.52983,0.86837,0.79754,0.84719,0.48314,1.42383,2.47793,0.69867,1.34505,0.000882718,0.000882718,0.000882718
130,6310.41,1.0313,1.90038,0.5715,1.07699,0.84805,0.81463,0.84686,0.53008,0.85417,0.80278,0.83833,0.48167,1.42364,2.47424,0.70512,1.34077,0.00086169,0.00086169,0.00086169
131,6358.8,1.02596,1.88158,0.57001,1.06949,0.82919,0.81102,0.83913,0.52306,0.82972,0.81126,0.83434,0.47723,1.43287,2.51025,0.71342,1.34488,0.000840824,0.000840824,0.000840824
132,6407.11,1.0195,1.86803,0.56572,1.06552,0.82518,0.8155,0.84029,0.52328,0.8539,0.79606,0.83898,0.48015,1.42436,2.48867,0.70676,1.34379,0.000820124,0.000820124,0.000820124
133,6455.48,1.02181,1.87996,0.5658,1.06825,0.85546,0.81235,0.84638,0.52704,0.86193,0.8158,0.84764,0.47998,1.434,2.49725,0.69027,1.35364,0.000799596,0.000799596,0.000799596
134,6503.72,1.00995,1.85321,0.55529,1.06002,0.83183,0.81887,0.84587,0.52612,0.84266,0.80615,0.84009,0.48004,1.43694,2.50122,0.69993,1.34893,0.000779244,0.000779244,0.000779244
135,6552.17,1.01436,1.85128,0.559,1.06328,0.83971,0.80853,0.84243,0.5254,0.85739,0.8092,0.84144,0.47896,1.43725,2.50643,0.69969,1.35148,0.000759073,0.000759073,0.000759073
136,6600.52,1.01682,1.86498,0.56223,1.06494,0.82935,0.82163,0.84397,0.52812,0.83961,0.80975,0.84099,0.47878,1.44063,2.51046,0.6994,1.35307,0.00073909,0.00073909,0.00073909
137,6648.91,1.00278,1.85775,0.54848,1.05662,0.84558,0.82064,0.84549,0.53153,0.84608,0.82148,0.84394,0.48368,1.43178,2.5063,0.69902,1.34938,0.000719297,0.000719297,0.000719297
138,6697.2,1.00323,1.84264,0.55379,1.05708,0.84071,0.81689,0.84636,0.52459,0.84213,0.81079,0.8404,0.47987,1.44202,2.50445,0.69786,1.36099,0.000699701,0.000699701,0.000699701
139,6745.5,1.00212,1.8649,0.54492,1.05659,0.83848,0.81524,0.84083,0.52434,0.85484,0.80405,0.83802,0.4788,1.44343,2.51803,0.70588,1.36701,0.000680306,0.000680306,0.000680306
140,6793.84,0.9907,1.85197,0.54626,1.04887,0.83767,0.81071,0.84092,0.52726,0.86304,0.79643,0.8421,0.48164,1.4445,2.51246,0.70087,1.36695,0.000661117,0.000661117,0.000661117
141,6842.2,0.98874,1.83064,0.5428,1.0513,0.84744,0.80541,0.844,0.52722,0.85924,0.80326,0.84117,0.47921,1.44586,2.53116,0.70436,1.36332,0.000642139,0.000642139,0.000642139
142,6890.62,1.00173,1.85276,0.55053,1.05682,0.83434,0.80917,0.83917,0.52482,0.83731,0.8065,0.83758,0.48167,1.43878,2.52757,0.70531,1.35798,0.000623376,0.000623376,0.000623376
143,6938.91,0.99363,1.85147,0.54372,1.05594,0.81488,0.83521,0.83988,0.52587,0.85227,0.79466,0.83808,0.48114,1.44207,2.54076,0.70371,1.36537,0.000604833,0.000604833,0.000604833
144,6987.07,0.98265,1.82172,0.53243,1.04751,0.85412,0.80474,0.84315,0.52838,0.85931,0.80761,0.84307,0.48259,1.43327,2.53529,0.69203,1.35997,0.000586515,0.000586515,0.000586515
145,7035.37,0.98105,1.81691,0.53435,1.04261,0.82673,0.81553,0.84376,0.52896,0.84401,0.80718,0.84187,0.48404,1.42925,2.54638,0.68785,1.35257,0.000568425,0.000568425,0.000568425
146,7083.71,0.98503,1.81538,0.53572,1.04554,0.82527,0.83014,0.844,0.52805,0.86708,0.79699,0.84288,0.48209,1.43596,2.55581,0.68852,1.36315,0.00055057,0.00055057,0.00055057
147,7131.99,0.97925,1.82873,0.5362,1.04188,0.85359,0.81038,0.84821,0.52618,0.8593,0.80622,0.84307,0.48071,1.43236,2.54956,0.68953,1.36399,0.000532952,0.000532952,0.000532952
148,7180.33,0.97509,1.80777,0.53342,1.04626,0.82443,0.81939,0.8411,0.52688,0.8499,0.80678,0.8416,0.48339,1.43471,2.54663,0.69266,1.36332,0.000515576,0.000515576,0.000515576
149,7228.51,0.98207,1.82047,0.53341,1.04498,0.82831,0.82061,0.8406,0.52338,0.8334,0.81753,0.83722,0.47912,1.44278,2.53719,0.70651,1.36906,0.000498448,0.000498448,0.000498448
150,7276.78,0.96856,1.79428,0.53371,1.04093,0.8408,0.80595,0.83976,0.52277,0.85134,0.80575,0.83803,0.48043,1.44226,2.5489,0.70147,1.37242,0.000481569,0.000481569,0.000481569
151,7324.98,0.97897,1.81914,0.53078,1.04535,0.84001,0.81368,0.84413,0.52341,0.85211,0.80688,0.83987,0.47965,1.44349,2.56324,0.6969,1.36452,0.000464946,0.000464946,0.000464946
152,7373.24,0.96531,1.7966,0.52217,1.03947,0.83892,0.81485,0.84424,0.52443,0.84779,0.80753,0.84188,0.48261,1.43717,2.53594,0.69617,1.36326,0.000448582,0.000448582,0.000448582
153,7421.62,0.97336,1.80968,0.52692,1.0456,0.83365,0.81541,0.83979,0.52445,0.85269,0.80022,0.8381,0.48023,1.44072,2.55976,0.70553,1.36922,0.000432482,0.000432482,0.000432482
154,7469.95,0.96012,1.79887,0.52212,1.03403,0.84216,0.80781,0.84219,0.52342,0.84072,0.80953,0.8375,0.48054,1.44109,2.55719,0.70151,1.36503,0.000416648,0.000416648,0.000416648
155,7518.24,0.9558,1.78219,0.51982,1.03908,0.84824,0.79869,0.84089,0.52293,0.85997,0.78592,0.83611,0.47909,1.44043,2.57122,0.69641,1.37479,0.000401085,0.000401085,0.000401085
156,7566.59,0.95995,1.78384,0.51775,1.03197,0.8305,0.81308,0.84348,0.52787,0.83191,0.80933,0.83902,0.48295,1.43197,2.56095,0.69429,1.3614,0.000385797,0.000385797,0.000385797
157,7614.89,0.95401,1.77992,0.51713,1.03583,0.82714,0.81812,0.84273,0.52633,0.85923,0.78951,0.83702,0.48258,1.43618,2.57455,0.69316,1.36784,0.000370788,0.000370788,0.000370788
158,7663.15,0.94568,1.77379,0.51468,1.03342,0.84802,0.80677,0.84571,0.52467,0.84476,0.8007,0.83767,0.48015,1.43897,2.57617,0.69413,1.36885,0.000356061,0.000356061,0.000356061
159,7711.45,0.95182,1.77406,0.51518,1.03591,0.82954,0.82449,0.84221,0.52238,0.8288,0.81888,0.83814,0.48044,1.44898,2.60288,0.69938,1.37964,0.00034162,0.00034162,0.00034162
160,7759.76,0.94613,1.76751,0.51087,1.02753,0.85901,0.79761,0.84533,0.52631,0.86054,0.79668,0.84234,0.4828,1.44369,2.58547,0.69584,1.37016,0.000327468,0.000327468,0.000327468
161,7808.19,0.94419,1.76455,0.50854,1.02545,0.85558,0.80022,0.84364,0.52589,0.85698,0.80018,0.8393,0.48073,1.44247,2.61268,0.69072,1.37622,0.00031361,0.00031361,0.00031361
162,7856.52,0.93616,1.75762,0.50094,1.02103,0.85431,0.80292,0.84528,0.52642,0.86743,0.79816,0.84106,0.48358,1.43901,2.59539,0.69253,1.37639,0.000300048,0.000300048,0.000300048
163,7904.81,0.93843,1.75872,0.50629,1.02284,0.83646,0.81515,0.84234,0.52826,0.86753,0.79616,0.8408,0.48276,1.43864,2.60469,0.69065,1.3758,0.000286785,0.000286785,0.000286785
164,7953.15,0.93166,1.75587,0.50296,1.02187,0.83568,0.82287,0.84309,0.52357,0.84431,0.81202,0.83735,0.48049,1.44076,2.60022,0.69161,1.37604,0.000273826,0.000273826,0.000273826
165,8001.46,0.94359,1.77224,0.50883,1.02599,0.84991,0.8137,0.84399,0.5236,0.85731,0.80934,0.84322,0.48091,1.44835,2.60496,0.69038,1.38282,0.000261173,0.000261173,0.000261173
166,8049.71,0.93248,1.75325,0.50655,1.01951,0.84206,0.82427,0.84387,0.52574,0.83861,0.81921,0.84106,0.48263,1.44272,2.62109,0.69104,1.38012,0.000248829,0.000248829,0.000248829
167,8098.1,0.93195,1.74363,0.50125,1.02043,0.83273,0.82839,0.84066,0.52507,0.85202,0.80795,0.84035,0.48354,1.44283,2.61721,0.69691,1.37919,0.000236798,0.000236798,0.000236798
168,8146.44,0.92993,1.73629,0.49866,1.02346,0.83663,0.82467,0.8446,0.52572,0.84395,0.8146,0.84206,0.48252,1.44252,2.6132,0.69509,1.37977,0.000225082,0.000225082,0.000225082
169,8194.86,0.92814,1.73957,0.49894,1.02164,0.83875,0.82563,0.84441,0.52756,0.83676,0.82281,0.8393,0.48505,1.44133,2.6227,0.69522,1.37932,0.000213685,0.000213685,0.000213685
170,8243.09,0.92967,1.76548,0.50158,1.02112,0.84703,0.8125,0.8422,0.52428,0.85682,0.80344,0.84152,0.48273,1.45081,2.62269,0.69359,1.38989,0.000202608,0.000202608,0.000202608
171,8291.4,0.91825,1.73393,0.49444,1.01713,0.85011,0.80677,0.84149,0.52592,0.867,0.80105,0.84263,0.48267,1.44982,2.61659,0.69511,1.38546,0.000191855,0.000191855,0.000191855
172,8339.79,0.92657,1.76602,0.49955,1.02291,0.82715,0.82229,0.84254,0.52431,0.86293,0.79563,0.84169,0.48118,1.45137,2.6118,0.69314,1.38735,0.000181429,0.000181429,0.000181429
173,8388.05,0.91738,1.73727,0.49153,1.01674,0.85,0.80604,0.84129,0.5239,0.85597,0.80284,0.8398,0.48034,1.44943,2.6277,0.69057,1.38801,0.000171332,0.000171332,0.000171332
