platform,mean_px_640,median_px_640,p95_px_640,mean_px_native,median_px_native,p95_px_native
A,9.3778099461191,1.4142135623730951,54.236053620674895,9.3778099461191,1.4142135623730951,54.236053620674895
B,8.219325685353931,1.0,43.9089968002003,8.219325685353931,1.0,43.9089968002003
C,1.8429527539318753,1.0,8.48528137423857,0.4607381884829688,0.25,2.1213203435596424
D,3.1338581997682864,1.0,15.811388300841896,1.8803149198609719,0.6,9.486832980505138
