pair_id,platform,method,mi,ef1,chamfer,time_s,ok,reason
M300H20T0038,A,ECC,0.10099158324092253,0.311357437842721,26.217126737156313,0.06214319999980944,0,return_fail
M300H20T0038,A,MI,0.1405547610021983,0.3379218820325183,16.44000016562328,0.2921892000003936,1,ok
M300H20T0038,A,LoFTR,0.10196828421901899,0.28849767966260464,26.896870645962778,1.0109982000003583,1,ok
M300H20T0038,A,ECC+MI,0.1405547610021983,0.3379218820325183,16.44000016562328,0.3544879999999466,1,mi_fallback
M300H20T0072,A,ECC,0.09431259437322573,0.33138572560684487,15.862824039814157,1.9943780000003244,1,ok
M300H20T0072,A,MI,0.08717818273808826,0.2899174021457914,20.234210353379805,0.13791010000022652,1,ok
M300H20T0072,A,LoFTR,0.08216184956891673,0.27560398747083215,25.231839455386954,0.10471119999965595,1,ok
M300H20T0072,A,ECC+MI,0.097679114232957,0.3069226165183335,14.796326387262182,2.18770670000049,1,ecc_then_mi
M300H20T0074,A,ECC,0.10401063922195951,0.36387237848067944,14.343430655244813,2.179935099999966,1,ok
M300H20T0074,A,MI,0.09868347448621266,0.3278059738192593,21.13213126661379,0.17278020000048855,1,ok
M300H20T0074,A,LoFTR,0.09835531720856208,0.35194142502297915,12.411541823137199,0.3448171000000002,1,ok
M300H20T0074,A,ECC+MI,0.1083988186233256,0.33645983388641315,12.9897779146984,2.306882500000029,1,ecc_then_mi
M300H20T0120,A,ECC,0.14732073928997635,0.41159211695426806,14.576376558708418,6.443119999999908,1,ok
M300H20T0120,A,MI,0.14042282142842227,0.3729963525908659,12.88451389942805,0.16904609999983222,1,ok
M300H20T0120,A,LoFTR,0.1288606139808714,0.3757154399386962,21.546093484330587,0.3671562999998059,1,ok
M300H20T0120,A,ECC+MI,0.15171559165346676,0.4003092238118611,14.140441435930258,6.558373500000016,1,ecc_then_mi
M300H20T0234,A,ECC,0.09904686930310769,0.31510031995364846,14.319761747955924,2.097735399999692,1,ok
M300H20T0234,A,MI,0.0808002334566852,0.29569973996079024,20.0577050246411,0.13149479999992764,1,ok
M300H20T0234,A,LoFTR,0.08333435449438516,0.318061561353048,16.03436140889453,0.26506139999946754,1,ok
M300H20T0234,A,ECC+MI,0.2136093043085751,0.2306623710752393,33.53516328934023,2.265207699999337,1,ecc_then_mi
M300H20T0237,A,ECC,0.08602350459310926,0.39544825241056525,30.990331448988673,0.03183830000034504,0,return_fail
M300H20T0237,A,MI,0.09360941339963912,0.3870750347623519,17.52599880102904,0.09369119999973918,1,ok
M300H20T0237,A,LoFTR,0.08450407104813111,0.34633322508836156,32.20904899570254,0.09809849999874132,1,ok
M300H20T0237,A,ECC+MI,0.09360941339963912,0.3870750347623519,17.52599880102904,0.1255760999993072,1,mi_fallback
M300H20T0348,A,ECC,0.08033414968404852,0.2779670736690309,12.92935826723322,1.06980620000013,1,ok
M300H20T0348,A,MI,0.08357776247671286,0.2513803929698361,14.022777007337682,0.08933149999938905,1,ok
M300H20T0348,A,LoFTR,0.09112477137289349,0.2388934325134947,17.612619521359488,0.10575849999986531,1,ok
M300H20T0348,A,ECC+MI,0.0863706222178594,0.23655959967642615,13.503606604267807,1.2041156000004776,1,ecc_then_mi
M300H20T0354,A,ECC,0.1465563920587633,0.49539253359177104,9.10899584964401,4.957147999999506,0,out_of_bounds
M300H20T0354,A,MI,0.149635929874482,0.4925030144767053,8.914989460737049,0.09587420000025304,1,ok
M300H20T0354,A,LoFTR,0.14876873659211334,0.45775522670403496,12.510197455418682,0.4443468999988909,1,ok
M300H20T0354,A,ECC+MI,0.149635929874482,0.4925030144767053,8.914989460737049,5.053071799999088,1,mi_fallback
M300H20T0528,A,ECC,0.19277939641130423,0.6296615462041697,8.563393197711356,0.028646300000218616,0,return_fail
M300H20T0528,A,MI,0.21452272760150298,0.5839089783870514,7.178849898642799,0.11580989999947633,1,ok
M300H20T0528,A,LoFTR,0.18777862766815268,0.6121069627023656,8.288669836846767,0.10242149999976391,1,ok
M300H20T0528,A,ECC+MI,0.21452272760150298,0.5839089783870514,7.178849898642799,0.14451279999957478,1,mi_fallback
M300H20T0544,A,ECC,0.25243258625580234,0.6480592956744884,8.122475347952086,0.023053599999911967,0,return_fail
M300H20T0544,A,MI,0.27505652876199616,0.6466290381290208,6.403486625647853,0.1835651000001235,1,ok
M300H20T0544,A,LoFTR,0.25501047086828643,0.6355192814202224,6.544785154367023,0.09148409999943397,1,ok
M300H20T0544,A,ECC+MI,0.27505652876199616,0.6466290381290208,6.403486625647853,0.20665790000020934,1,mi_fallback
DJI_00770058,B,ECC,0.17938232084790046,0.5630899143313112,7.716099235472942,3.237318800000139,1,ok
DJI_00770058,B,MI,0.2503795816149843,0.5297634262056471,9.522865827447038,0.062399700000241864,1,ok
DJI_00770058,B,LoFTR,0.2230585183310908,0.5628606156870921,7.651072346248286,0.3592011000000639,1,ok
DJI_00770058,B,ECC+MI,0.19667420548023917,0.5512424624156566,8.520618629866565,3.367358299999978,1,ecc_then_mi
DJI_00770203,B,ECC,0.16207035089173077,0.4854831120145782,9.29431496706929,3.3584443999998257,0,out_of_bounds
DJI_00770203,B,MI,0.27555805663113314,0.41223440092691693,16.016152471772074,0.10642569999981788,1,ok
DJI_00770203,B,LoFTR,0.17627514730989782,0.49479998585792184,9.058883711977675,0.3355821000004653,1,ok
DJI_00770203,B,ECC+MI,0.27555805663113314,0.41223440092691693,16.016152471772074,3.464910200000304,1,mi_fallback
DJI_00770287,B,ECC,0.1744843144837956,0.37123829064369396,12.994352553614785,5.667115499999454,1,ok
DJI_00770287,B,MI,0.25220321057840345,0.4772411443297984,12.228540431773656,0.11005560000012338,1,ok
DJI_00770287,B,LoFTR,0.25456206737588055,0.47090874115105646,12.271700074722943,0.312278299999889,1,ok
DJI_00770287,B,ECC+MI,0.29487563913175585,0.5525022415305798,27.43287926377305,5.893876600000112,1,ecc_then_mi
DJI_00790045,B,ECC,0.15931435464942656,0.48360047343383145,9.131950418861196,1.1980247000001327,1,ok
DJI_00790045,B,MI,0.25482890893559595,0.5857400569580388,7.003861770603461,0.05658560000028956,1,ok
DJI_00790045,B,LoFTR,0.25365581143293525,0.6066101791916244,6.900611291642612,0.09661889999915729,1,ok
DJI_00790045,B,ECC+MI,0.27694886268333485,0.46930389527875116,10.139547450677558,1.3750760000002629,1,ecc_then_mi
DJI_00790094,B,ECC,0.4344015842976841,0.5871822301075291,11.926264350718759,4.576796500000455,0,out_of_bounds
DJI_00790094,B,MI,0.4379555923234655,0.5845366580966209,12.59151509583904,0.08522099999936472,1,ok
DJI_00790094,B,LoFTR,0.4212883515226616,0.5799172883573918,12.386271294692312,0.42100510000000213,1,ok
DJI_00790094,B,ECC+MI,0.4379555923234655,0.5845366580966209,12.59151509583904,4.662058400000205,1,mi_fallback
DJI_00810098,B,ECC,0.19047834965606217,0.4568860058891753,10.236213968460824,2.933104700000513,1,ok
DJI_00810098,B,MI,0.2793266466186094,0.4046497118376575,16.45250933531265,0.08677910000005795,1,ok
DJI_00810098,B,LoFTR,0.23446533750263504,0.5128682584565526,12.429548161941762,0.3053409999993164,1,ok
DJI_00810098,B,ECC+MI,0.2818283605431447,0.29585705553893565,18.27345567778893,3.083689800000684,1,ecc_then_mi
DJI_00810117,B,ECC,0.2102506354851123,0.4709815954869091,15.121835993874914,2.2118204999997033,0,out_of_bounds
DJI_00810117,B,MI,0.3071342130861701,0.28594129912874194,36.026259756137726,0.08613210000021354,1,ok
DJI_00810117,B,LoFTR,0.22301420432470306,0.45715417513833445,17.519972242803505,0.26148580000062793,1,ok
DJI_00810117,B,ECC+MI,0.3071342130861701,0.28594129912874194,36.026259756137726,2.29802219999965,1,mi_fallback
DJI_00810185,B,ECC,0.22368785324283802,0.6241219726363971,5.898951383645915,3.047847100000581,1,ok
DJI_00810185,B,MI,0.30446373775054125,0.6444268050156938,5.387311291072586,0.060676000000057684,1,ok
DJI_00810185,B,LoFTR,0.28286817307749434,0.65586850094805,5.446445158016443,0.4213707999997496,1,ok
DJI_00810185,B,ECC+MI,0.28478210448363106,0.6185188019559973,7.46824192070649,3.1849777000006725,1,ecc_then_mi
DJI_00810257,B,ECC,0.1583398280250055,0.4291053260100128,11.90063964272827,1.4531420000002981,1,ok
DJI_00810257,B,MI,0.27195131982487475,0.42232032984835693,12.071167119423858,0.06521739999971032,1,ok
DJI_00810257,B,LoFTR,0.18844940061045493,0.4420672435125847,15.892747549778909,0.2279593000002933,1,ok
DJI_00810257,B,ECC+MI,0.2886725182451082,0.433236065114449,12.920519567989675,1.766460100000586,1,ecc_then_mi
DJI_00810265,B,ECC,0.18478974833674486,0.4605930966919076,13.779689224355772,4.061830100000407,0,out_of_bounds
DJI_00810265,B,MI,0.24342363823021343,0.3533236546618764,20.535670377476606,0.10063020000052347,1,ok
DJI_00810265,B,LoFTR,0.19143729144188534,0.45233482136074676,15.267302714848647,0.46717510000053153,1,ok
DJI_00810265,B,ECC+MI,0.24342363823021343,0.3533236546618764,20.535670377476606,4.162508100001105,1,mi_fallback
DJI_00810283,B,ECC,0.18900405732877656,0.4242046697903344,11.461358288358817,2.327394099999765,1,ok
DJI_00810283,B,MI,0.25133761752413675,0.3563300014941419,20.16477512162414,0.06089830000018992,1,ok
DJI_00810283,B,LoFTR,0.23341290502919745,0.4330186509621214,15.739523576171077,0.28486829999928887,1,ok
DJI_00810283,B,ECC+MI,0.2537556860611181,0.3516826080882778,19.56803346935194,2.5237905999993018,1,ecc_then_mi
DJI_00810320,B,ECC,0.2407277384632649,0.3669718166314521,16.502712952691642,11.254478099999687,1,ok
DJI_00810320,B,MI,0.28155933019965607,0.4097171000384014,22.656721246250406,0.05768649999936315,1,ok
