pair_id,platform,method,error_px
M300H20T0038,A,ECC,7.803433418273926
M300H20T0038,A,ECC,171.62860107421875
M300H20T0038,A,ECC,142.0936737060547
M300H20T0038,A,ECC,129.11546325683594
M300H20T0038,A,ECC,8.404483795166016
M300H20T0038,A,ECC,322.14556884765625
M300H20T0038,A,ECC,64.2280044555664
M300H20T0038,A,ECC,193.86322021484375
M300H20T0038,A,ECC,77.33128356933594
M300H20T0038,A,ECC,368.2077331542969
M300H20T0038,A,MI,86.2098159790039
M300H20T0038,A,MI,236.97708129882812
M300H20T0038,A,MI,186.90440368652344
M300H20T0038,A,MI,181.056884765625
M300H20T0038,A,MI,86.17831420898438
M300H20T0038,A,MI,333.3476257324219
M300H20T0038,A,MI,150.82562255859375
M300H20T0038,A,MI,238.75637817382812
M300H20T0038,A,MI,162.21005249023438
M300H20T0038,A,MI,349.2413635253906
M300H20T0038,A,LoFTR,1.29546320438385
M300H20T0038,A,LoFTR,173.56777954101562
M300H20T0038,A,LoFTR,140.9988250732422
M300H20T0038,A,LoFTR,128.2393035888672
M300H20T0038,A,LoFTR,1.257205605506897
M300H20T0038,A,LoFTR,330.1995544433594
M300H20T0038,A,LoFTR,64.04767608642578
M300H20T0038,A,LoFTR,193.75653076171875
M300H20T0038,A,LoFTR,76.97454833984375
M300H20T0038,A,LoFTR,372.2810363769531
M300H20T0038,A,ECC+MI,86.2098159790039
M300H20T0038,A,ECC+MI,236.97708129882812
M300H20T0038,A,ECC+MI,186.90440368652344
M300H20T0038,A,ECC+MI,181.056884765625
M300H20T0038,A,ECC+MI,86.17831420898438
M300H20T0038,A,ECC+MI,333.3476257324219
M300H20T0038,A,ECC+MI,150.82562255859375
M300H20T0038,A,ECC+MI,238.75637817382812
M300H20T0038,A,ECC+MI,162.21005249023438
M300H20T0038,A,ECC+MI,349.2413635253906
M300H20T0072,A,ECC,26.76709747314453
M300H20T0072,A,ECC,33.756805419921875
M300H20T0072,A,ECC,25.69599151611328
M300H20T0072,A,ECC,25.90316390991211
M300H20T0072,A,ECC,56.26651382446289
M300H20T0072,A,ECC,269.31622314453125
M300H20T0072,A,ECC,28.324939727783203
M300H20T0072,A,ECC,32.14395523071289
M300H20T0072,A,ECC,26.346290588378906
M300H20T0072,A,ECC,128.1739501953125
M300H20T0072,A,MI,3.7322442531585693
M300H20T0072,A,MI,10.476882934570312
M300H20T0072,A,MI,5.5716423988342285
M300H20T0072,A,MI,40.509788513183594
M300H20T0072,A,MI,48.556396484375
M300H20T0072,A,MI,244.85617065429688
M300H20T0072,A,MI,4.354842662811279
M300H20T0072,A,MI,12.018112182617188
M300H20T0072,A,MI,4.653388500213623
M300H20T0072,A,MI,135.85751342773438
M300H20T0072,A,LoFTR,1.5589655637741089
M300H20T0072,A,LoFTR,8.349231719970703
M300H20T0072,A,LoFTR,0.8766133189201355
M300H20T0072,A,LoFTR,33.60422134399414
