method,n,rate_pct,mi_mean,ef1_mean,chamfer_mean,time_mean_s
ECC,50,84.0,0.2164156578127066,0.48123139046522395,13.223712423522489,2.155013948000087
MI,50,86.0,0.2584457258171413,0.4825038039670933,14.570593069909812,0.09392064600002413
LoFTR,50,84.0,0.23520929930202622,0.49020362099973547,14.827421360097647,0.2424900219999472
