method,mean_px,median_px,p95_px
ECC,62.10671312624216,21.34561824798584,291.7319671630858
MI,47.11771596175432,9.944671154022217,211.64621276855414
LoFTR,38.244460642501714,1.6541436910629272,228.53272628784168
ECC+MI,79.73897016191482,45.23086929321289,298.16125488281193
